No,PO Number,Product,No.WO/OF,First SN,Last SN,Quantity,Inner Box No.,Total Inner Box No.,Outer Box No.,Item Code,NDC,HLR,Barcode
062,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 6319,0150 0000 6146 6818,500,014,106,02,S833,0823,725,S833X015000006146631900500
063,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 6819,0150 0000 6146 7318,500,015,106,02,S833,0823,725,S833X015000006146681900500
064,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 7319,0150 0000 6146 7818,500,016,106,02,S833,0823,725,S833X015000006146731900500
065,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 7819,0150 0000 6146 8318,500,017,106,03,S833,0823,725,S833X015000006146781900500
066,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 8319,0150 0000 6146 8818,500,018,106,03,S833,0823,725,S833X015000006146831900500
067,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 8819,0150 0000 6146 9318,500,019,106,03,S833,0823,725,S833X015000006146881900500
068,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 9319,0150 0000 6146 9818,500,020,106,03,S833,0823,725,S833X015000006146931900500
069,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6146 9819,0150 0000 6147 0318,500,021,106,03,S833,0823,725,S833X015000006146981900500
070,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 0319,0150 0000 6147 0818,500,022,106,03,S833,0823,725,S833X015000006147031900500
071,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 0819,0150 0000 6147 1318,500,023,106,03,S833,0823,725,S833X015000006147081900500
072,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 1319,0150 0000 6147 1818,500,024,106,03,S833,0823,725,S833X015000006147131900500
073,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 1819,0150 0000 6147 2318,500,025,106,04,S833,0823,725,S833X015000006147181900500
074,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 2319,0150 0000 6147 2818,500,026,106,04,S833,0823,725,S833X015000006147231900500
075,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 2819,0150 0000 6147 3318,500,027,106,04,S833,0823,725,S833X015000006147281900500
076,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 3319,0150 0000 6147 3818,500,028,106,04,S833,0823,725,S833X015000006147331900500
077,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 3819,0150 0000 6147 4318,500,029,106,04,S833,0823,725,S833X015000006147381900500
078,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 4319,0150 0000 6147 4818,500,030,106,04,S833,0823,725,S833X015000006147431900500
079,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 4819,0150 0000 6147 5318,500,031,106,04,S833,0823,725,S833X015000006147481900500
080,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 5319,0150 0000 6147 5818,500,032,106,04,S833,0823,725,S833X015000006147531900500
